Name,Latitude,Longitude,City
Cantonment area,12.98698,77.66347,Bengaluru
Domlur,12.95639,77.6389,Bengaluru
Indiranagar,13.02452,77.49393,Bengaluru
Jeevanbheemanagar,12.90231,77.71482,Bengaluru
Malleswaram,12.99686,77.56981,Bengaluru
Pete area,12.98698,77.66347,Bengaluru
Sadashivanagar,12.90231,77.71482,Bengaluru
Seshadripuram,12.99286,77.5769,Bengaluru
Shivajinagar,12.90231,77.71482,Bengaluru
Ulsoor,12.97523,77.61809,Bengaluru
Vasanth Nagar,12.99268,77.5916,Bengaluru
Bellandur,12.92291,77.67275,Bengaluru
CV Raman Nagar,12.97933,77.65299,Bengaluru
Hoodi,12.99199,77.71538,Bengaluru
Krishnarajapuram,12.90231,77.71482,Bengaluru
Mahadevapura,12.99209,77.68851,Bengaluru
Marathahalli,12.95448,77.70032,Bengaluru
Varthur,12.95608,77.71293,Bengaluru
Whitefield,13.00522,77.75685,Bengaluru
Banaswadi,13.01422,77.65842,Bengaluru
HBR Layout,13.03133,77.62357,Bengaluru
Horamavu,13.02932,77.65289,Bengaluru
Kalyan Nagar,12.79053,77.67036,Bengaluru
Kammanahalli,13.00493,77.6372,Bengaluru
Lingarajapuram,12.90231,77.71482,Bengaluru
Ramamurthy Nagar,13.01199,77.67398,Bengaluru
Hebbal,13.05162,77.58111,Bengaluru
Jalahalli,13.05316,77.53046,Bengaluru
Mathikere,12.90231,77.71482,Bengaluru
Peenya,13.03339,77.52076,Bengaluru
R. T. Nagar,13.02415,77.59283,Bengaluru
Vidyaranyapura,13.08148,77.54832,Bengaluru
Yelahanka,13.08615,77.55568,Bengaluru
Yeshwanthpur,13.01916,77.54408,Bengaluru
Bommanahalli,12.90366,77.64575,Bengaluru
Bommasandra,12.81308,77.69835,Bengaluru
BTM Layout,12.91254,77.61483,Bengaluru
Electronic City,12.83412,77.66685,Bengaluru
HSR Layout,12.91617,77.63826,Bengaluru
Koramangala,12.93156,77.62556,Bengaluru
Madiwala,12.92315,77.62462,Bengaluru
Banashankari,12.95306,77.58216,Bengaluru
Basavanagudi,12.96801,77.57691,Bengaluru
Girinagar,12.93878,77.54866,Bengaluru
J. P. Nagar,12.86901,77.57009,Bengaluru
Jayanagar,12.96158,77.59678,Bengaluru
Kumaraswamy Layout,12.90413,77.56559,Bengaluru
Padmanabhanagar,12.90231,77.71482,Bengaluru
Uttarahalli,12.91005,77.49141,Bengaluru
Anjanapura,12.87922,77.55403,Bengaluru
Arekere,12.89208,77.58966,Bengaluru
Begur,12.86017,77.60629,Bengaluru
Gottigere,12.86083,77.56694,Bengaluru
Hulimavu,12.87818,77.59791,Bengaluru
Kothnur,12.87806,77.5684,Bengaluru
Basaveshwaranagar,12.90231,77.71482,Bengaluru
Kamakshipalya,12.9858,77.52956,Bengaluru
Kengeri,12.92342,77.4906,Bengaluru
Mahalakshmi Layout,13.06301,77.70021,Bengaluru
Nagarbhavi,12.96176,77.52133,Bengaluru
Nandini Layout,13.01038,77.53652,Bengaluru
Nayandahalli,12.94661,77.53077,Bengaluru
Rajajinagar,12.91004,77.54578,Bengaluru
Rajarajeshwari Nagar,12.91715,77.52514,Bengaluru
Vijayanagar,12.97527,77.54589,Bengaluru
